type,title,abstract,date,startTime,endTime,room
Breakout session,7 principles for effective and cost-efficient generative AI apps,"As generative AI applications gain traction, building effective and cost-efficient solutions is paramount. This session outlines seven guiding principles to build effective and cost-efficient generative AI applications. Adherence to these principles allows businesses and developers to harness generative AI’s potential while optimizing resources. Establishing clear objectives, curating high-quality data, optimizing model architectures, deploying efficiently, monitoring performance, upholding ethics, and iterating improvements are crucial. By following these principles, organizations can develop trustworthy, impactful, and cost-effective generative AI applications that drive innovation responsibly and sustainably.",2024-12-02,14:30,15:30,Mandalay Bay | Level 3 South | Jasmine H
Chalk talk,A capability-oriented approach to defining your cloud architecture [REPEAT],"When you’re architecting workloads, you have a choice of over 200 AWS services. However, it doesn’t have to be overwhelming to pick the right services for your architecture. By defining your workload in terms of the capabilities required by your system, a combination of functional and nonfunctional requirements, you can simplify your choices. By defining your system’s important differentiating characteristics, you will find yourself naturally aligning the right AWS services to the capabilities required by your system. In this chalk talk, learn how to organize your system by capabilities and discover the architectural characteristics to pick the right services for those capabilities.",2024-12-02,15:00,16:00,Caesars Forum | Level 1 | Alliance 305
Breakout session,Accelerate app migration: From legacy to production,"Looking for a clear path to migration success? Learn how to quickly modernize your legacy code with Amazon Q Developer, implement automated testing, optimize infrastructure selection, and deploy your sleek new application into production—effortlessly and with confidence.",2024-12-02,12:00,13:00,Wynn | Upper Convention Promenade | Cristal 7
Workshop,Accelerate development with AWS Lambda Powertools for serverless APIs,"In this workshop, start with an existing application built with Python and progressively improve your API event handler using Powertools for AWS Lambda. Learn how to implement request and response validation, dynamic routing, exception handling, middleware, and OpenAPI schema generation. Discover how to improve your API event handler with serverless best practices using Python that you can easily extend to other Powertools runtimes. You must bring your laptop to participate.",2024-12-03,11:30,13:30,Mandalay Bay | Level 2 South | Oceanside A
Workshop,Accelerate innovation capabilities with generative AI and mechanisms,"In today’s rapidly evolving tech landscape, navigating complex innovation and transformation initiatives can be daunting. This hands-on workshop equips you with the tools and strategies to unlock your organization’s full potential for innovation and transformation. Use the AWS Innovation Pulse Check tool, powered by generative AI, to assess capabilities and receive tailored recommendations. Explore mental models that empower informed decision-making and foster an innovation culture. Dive into interactive modules to review processes, design effective change mechanisms, and prioritize actions for exceptional customer value delivery. Walk away with a roadmap to accelerate innovation maturity and stay ahead in the tech landscape. You must bring your laptop to participate.",2024-12-04,08:30,10:30,MGM | Level 3 | Premier 312
Breakout session,Accelerate serverless deployments using Terraform with proven patterns,"In this session, discover best practices and proven patterns for using Terraform to build serverless applications safely, predictably, and repeatedly. Learn techniques for designing modular, reusable architectures and strategies to test applications locally. Understand how to manage ownership and separation of concerns between operations and development teams. Gain insights into efficiently deploying serverless applications to the cloud. Familiarize yourself with open source frameworks to accelerate your serverless journey with Terraform today. Leave equipped with practical skills for leveraging Terraform’s power in your organization’s modern cloud architectures.",2024-12-02,12:00,13:00,Venetian | Level 3 | Lido 3002
Chalk talk,Accelerating event-driven architecture with event storming [REPEAT],"Event-driven architectures are experiencing a renaissance. While getting started is not difficult, builders may encounter challenges on their journeys. Domain-driven design is a tool that can help, but many developers are unfamiliar with how to get started. In this chalk talk, learn about a general framework that uses domain-driven design to think through, design, and build cloud-native event-driven architectures.",2024-12-02,10:30,11:30,Caesars Forum | Level 1 | Alliance 305
Workshop,Adapting LLMs for domain-aware applications with AWS Trainium post-training,"While large language models (LLMs) have broad knowledge and versatility, tailoring these powerful models to specific domains unlocks new levels of understanding and performance, allowing them to enhance user experience in domain-focused or industry-vertical applications. In this workshop, learn how to apply post-training techniques like supervised fine-tuning and model alignment on AWS Trainium and AWS Inferentia using Amazon SageMaker and Hugging Face Optimum Neuron library. Explore how to deploy these models and evaluate the effects of these techniques with domain-specific accuracy tests. You must bring a laptop to participate.",2024-12-03,15:30,17:30,Wynn | Convention Promenade | Margaux 2
Workshop,Advanced cost allocation for AWS containerized workloads,"Due to the dynamic nature of cloud workloads and the inherent use of shared services, organizations are looking for simple ways to analyze spend and allocate their shared costs to teams and applications that utilize them. In this hands-on workshop, learn about the tools and techniques that can help you build your cost allocation strategy. Discover best practices for tagging and analyzing spend, and find out how to improve the cost visibility of your containerized Amazon ECS and Amazon EKS workloads with the split cost allocation data feature. Also, learn how to visualize your detailed cost and usage data with Amazon QuickSight dashboards. You must bring your laptop to participate.",2024-12-03,12:30,14:30,Mandalay Bay | Level 2 South | Oceanside D
Chalk talk,"Always on, always available with AWS resilience lifecycle framework","Customers expect an always-on, always-available experience. In this chalk talk, explore strategies to minimize downtime and enable customer-facing applications to withstand unexpected failures or to quickly recover from them. Discover practical guidance on using the resilience lifecycle framework to build resilient applications on AWS. Learn actionable techniques to architect robust, fault-tolerant applications that deliver exceptional reliability for your customers. This chalk talk is intended for AWS Partners.",2024-12-02,09:00,10:00,Caesars Forum | Level 1 | Summit 221
Workshop,Amazon Bedrock Agents: Revolutionize data analysis & customer service,"Analyzing complex datasets can be time-consuming and resource intensive. In this workshop, learn how to move from analysis to action faster and with minimal manual effort. Build an agent-based generative AI application that quickly links multiple data sources and produces meaningful insights using Amazon Bedrock Agents and Amazon Bedrock Knowledge Bases. Discover how to integrate these agents with services like Amazon RDS and Amazon S3 as well as online data sources to improve customer interactions, personalize product offers, and identify new opportunities. Your application will demonstrate how financial institutions can revolutionize customer service while respecting guardrails for responsible AI. You must bring your laptop to participate.",2024-12-05,15:30,17:30,Wynn | Upper Convention Promenade | Cristal 3
Workshop,Amazon Braket: Get hands-on with quantum computing [REPEAT],Amazon Braket provides access to quantum computing hardware and simulators to speed up scientific research and software development for quantum computing. Join this workshop to implement your first quantum algorithm and gain hands-on experience with running quantum circuits on gate-based devices and simulators. Review service features and examples available in the AWS quantum algorithm library. You must bring your laptop to participate.,2024-12-02,08:30,10:30,MGM | Level 1 | Grand 118
Workshop,Amazon Braket: Get hands-on with quantum computing [REPEAT],Amazon Braket provides access to quantum computing hardware and simulators to speed up scientific research and software development for quantum computing. Join this workshop to implement your first quantum algorithm and gain hands-on experience with running quantum circuits on gate-based devices and simulators. Review service features and examples available in the AWS quantum algorithm library. You must bring your laptop to participate.,2024-12-04,08:30,10:30,MGM | Level 1 | Grand 123
Breakout session,An insider’s look into architecture choices for Amazon DynamoDB,"To overcome the performance and scale limitations of relational databases, AWS built Amazon DynamoDB to deliver consistent single-digit millisecond performance at any scale for the most demanding applications on the planet. In this session, learn about the architecture choices for Amazon DynamoDB. Gain a better understanding of when to use DynamoDB and why DynamoDB is used by over one million AWS customers to power hundreds of applications that exceed half a million requests per second. Leave with a new perspective on how to design your own applications.",2024-12-04,16:30,17:30,Mandalay Bay | Level 3 South | South Seas B
Interactive training,Apply least privilege principles to troubleshoot IAM access issues,This lab demonstrates the concept of assuming an AWS Identity and Access Management (IAM) role. Troubleshoot and fix access issues while applying least privilege concepts in your solution.,2024-12-04,08:00,09:30,Mandalay Bay | Level 2 South | Lagoon L
Breakout session,Architectural best practices throughout the lifecycle,"In this session, learn how to integrate architectural best practices at every stage of your workload’s lifecycle. Explore the AWS Well-Architected Framework, including the AWS Well-Architected Tool, which helps customers discover and implement best practices around operational excellence, security, reliability, performance, cost optimization, and sustainability. Further, learn how to integrate AWS Trusted Advisor to continuously monitor your workloads for adherence to best practices. Finally, learn how to integrate with AWS Health to improve your incident detection time and application resilience. This session holds appeal for architects, CCoE leaders, and builders.",2024-12-02,14:30,15:30,MGM | Level 3 | Chairmans 355
Chalk talk,Automating insurance claims and policy management using generative AI,"Insurance companies manage extensive procedure documents, making manual processing time-consuming and complex. This session introduces a generative AI-based solution to automate and scale these operations. This innovative solution leverages generative AI to transform operations processing into an automated and scalable solution. Learn how to build an end-to-end generative AI-based robotic process automation (RPA) solution to understand procedure documents with rules, tables, and images and perform operations according to customers’ data by leveraging generative AI and large language models (LLMs). This approach is ideal for industries that require efficient handling of large-scale documentation.",2024-12-05,11:30,12:30,MGM | Level 1 | Boulevard 169
Community activities,AWS Art Alley,"Come experience the power of generative AI in the AWS Art Alley, where AWS Builders have created one-of-a-kind activations for you to enjoy!",2024-12-01,10:00,18:00,Venetian | Level 2 | Veronese Foyer
Chalk talk,AWS Lambda performance tuning: Best practices and guidance [REPEAT],"In this chalk talk, you learn about opportunities to optimize your serverless applications built with AWS Lambda, including optimizations in the function configuration and within your function code. This talk also covers how you can best measure and tune your function’s performance by configuring memory to get the right application performance. You also hear best practices for initialization logic and reuse to enable fast startup and fast function processing times.",2024-12-02,09:00,10:00,MGM | Level 3 | 302
Builders' Fair,AWSome golf ball 2.0 [REPEAT],"Imagine a self-driving golf ball that always finds its way to the hole, regardless of where it's putted. Using computer vision and ML, the golf ball will never miss. Beyond this capability, we have incorporated generative AI, where we are able to generate a custom mini golf hole for each attendee based on skill level, course preferences, and various other parameters.",2024-12-03,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 11
Builders' Fair,AWS virtual escape room [REPEAT],"Dive into the mystery with our virtual escape room! Something sinister has happened to an AWS account and it's up to you to solve the case. Secrets and clues are hidden across various AWS services, each revealing more about the elusive murderer. Utilize your cloud skills, explore services like S3, Lambda, and DynamoDB, and piece together the evidence to crack the case. This immersive experience blends technology and intrigue, challenging your detective abilities in a race against time.",2024-12-03,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 4
Builders' Fair,AWS virtual escape room [REPEAT],"Dive into the mystery with our virtual escape room! Something sinister has happened to an AWS account and it's up to you to solve the case. Secrets and clues are hidden across various AWS services, each revealing more about the elusive murderer. Utilize your cloud skills, explore services like S3, Lambda, and DynamoDB, and piece together the evidence to crack the case. This immersive experience blends technology and intrigue, challenging your detective abilities in a race against time.",2024-12-02,16:00,19:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 4
